Date,Open,High,Low,Close,Adj Close,Volume
10/1/2005,23.804245,24.6625,22.580984,24.041004,19.78124,180918200
11/1/2005,23.952221,25.836435,23.952221,24.593445,20.235794,188756300
12/1/2005,24.711824,25.35305,23.626675,23.646404,19.45656,156319600
1/1/2006,23.754919,26.14225,23.449104,24.968315,20.76565,300628700
2/1/2006,24.810474,28.105385,24.56385,27.612135,22.964458,271809900
3/1/2006,27.622,28.460526,26.694691,27.513485,22.882414,199001800
4/1/2006,27.493755,27.868626,26.388874,27.582541,22.939846,136266000
5/1/2006,27.631865,30.117846,27.256994,30.088249,25.023794,323006000
6/1/2006,30.088249,30.611095,27.572676,29.594999,24.613569,275015400
7/1/2006,29.782434,30.038925,27.769976,29.289185,24.35923,210973400
8/1/2006,29.249725,29.713381,28.302685,29.249725,24.326412,217465200
9/1/2006,29.417431,31.03529,28.904449,30.492716,25.360182,184666400
10/1/2006,30.374334,31.558134,29.989599,31.03529,25.811428,156079400
11/1/2006,31.124075,33.393024,30.966234,32.603825,27.11595,219949800
12/1/2006,32.603825,34.418983,32.317741,33.807354,28.116898,166302300
1/1/2007,33.748165,35.484406,33.491676,34.695206,29.120245,215005000
2/1/2007,34.616283,35.602783,32.209225,33.787624,28.3585,220199700
3/1/2007,33.274647,34.94183,32.830719,33.965195,28.507536,235213600
4/1/2007,33.9356,34.991154,33.77776,34.507771,28.962917,175109600
5/1/2007,34.616283,36.293335,34.616283,34.961559,29.343798,217666800
6/1/2007,34.931965,35.405483,33,34.139999,28.654243,251947300
7/1/2007,34.380001,35.380001,32.990002,33,27.69743,206024100
8/1/2007,32.880001,34.93,31.25,33.599998,28.201021,268699200
9/1/2007,33.509998,34.950001,33,34.389999,28.864077,173298600
10/1/2007,34.380001,35.689999,33.57,34.630001,29.065516,174596000
11/1/2007,34.509998,34.709999,30.68,33.150002,27.823324,219617300
12/1/2007,33.060001,33.5,31.709999,32.279999,27.093122,193431800
1/1/2008,32.32,32.630001,26.299999,29.84,25.315735,311584700
2/1/2008,30.75,33.23,30.049999,32.41,27.496084,273015700
3/1/2008,32.610001,32.709999,30.049999,31.379999,26.622246,228129500
4/1/2008,31.52,33.029999,29.57,32.43,27.513054,253682300
5/1/2008,32.450001,35.02,32.419998,33.599998,28.505657,265545100
6/1/2008,33.5,34.709999,31.139999,31.200001,26.469542,304091100
7/1/2008,30.91,31.77,28.549999,30.35,25.748415,346983800
8/1/2008,30.5,33.419998,29.83,32.349998,27.445175,238231600
9/1/2008,32.740002,34.849998,29.25,30.690001,26.036863,335173700
10/1/2008,30.299999,31.059999,21.25,25.91,21.981594,462241800
11/1/2008,25.85,26.24,18.6,22.52,19.105572,390996800
12/1/2008,22.040001,26.1,20.27,22.690001,19.249802,341523600
1/1/2009,22.76,24.83,19.950001,20.68,17.807533,278390800
2/1/2009,20.08,20.790001,16.42,16.77,14.440637,399424800
3/1/2009,16.48,19.139999,15.14,18.16,15.637565,365733300
4/1/2009,17.92,22.57,17.84,21.9,18.858074,356457800
